"","LAGOSLAKEI","Rowid_","A_1","A_2","A_3","buff_area_ha","GAP12_buff_ha","GAP123_buff_ha","GAP12_buff_pct","GAP123_buff_pct"
"1023",30284,NA,0,287100,1272600,931.759701730618,28.71,155.97,0.0308126654830371,0.167392944458004
"1024",30287,NA,0,50400,0,903.784239767292,5.04,5.04,0.00557655221040114,0.00557655221040114
"1025",30296,NA,0,124200,0,939.099383999438,12.42,12.42,0.0132254372770491,0.0132254372770491
"1026",31221,NA,0,0,7275600,960.498810864076,0,727.56,0,0.757481416708344
"1027",31228,NA,0,0,3011400,834.934405588297,0,301.14,0,0.360675039840784
"1028",31230,NA,0,4567500,0,860.007132273591,456.75,456.75,0.531100246567136,0.531100246567136
"1029",31231,NA,0,7093800,0,857.003230028563,709.38,709.38,0.827744838226989,0.827744838226989
"1030",31233,NA,0,0,1679400,890.278115519554,0,167.94,0,0.188637681947278
"1031",31236,NA,0,0,1041300,1157.20725981284,0,104.13,0,0.0899838806894814
"1032",31237,NA,0,354600,9701100,1005.4990428338,35.46,1005.57,0.0352660703684642,1
"1033",31240,NA,0,706500,0,878.136323439274,70.65,70.65,0.0804544785521399,0.0804544785521399
"1034",31257,NA,0,6038100,0,971.386945909362,603.81,603.81,0.621595752900245,0.621595752900245
"1035",31268,NA,0,0,331200,869.390575116486,0,33.12,0,0.0380956510778397
"1036",31275,NA,0,0,4815000,844.92266663603,0,481.5,0,0.569874639435395
"1037",31280,NA,0,1377000,0,1037.31928643031,137.7,137.7,0.132746013499722,0.132746013499722
"1038",31308,NA,0,10158300,0,1160.75355321974,1015.83,1015.83,0.875147008753282,0.875147008753282
"1039",31312,NA,0,3759300,2700,1543.65560214031,375.93,376.2,0.24353230052012,0.243707210000982
"1040",31316,NA,0,0,6604200,887.379993599783,0,660.42,0,0.744235845706767
"1041",31319,NA,0,671400,0,967.562218907167,67.14,67.14,0.0693908863823069,0.0693908863823069
"1042",31324,NA,0,0,583200,1174.37942105469,0,58.32,0,0.0496602707390972
"1043",31337,NA,0,0,3676500,1752.80063860087,0,367.65,0,0.209750037684529
"1044",31345,NA,2020500,2700900,0,852.454408235883,472.14,472.14,0.553859532472913,0.553859532472913
"1045",31347,NA,0,0,152100,1179.5146485924,0,15.21,0,0.0128951344675127
"1046",31350,NA,0,114300,158400,907.118094746289,11.43,27.27,0.0126003439532279,0.0300622379356539
"1047",31359,NA,0,950400,698400,856.085277491544,95.04,164.88,0.111016977512429,0.192597635229895
"1048",31363,NA,0,27900,227700,985.228274549516,2.79,25.56,0.00283183103050478,0.025943226214947
"1049",32282,NA,0,0,4037400,864.83212150055,0,403.74,0,0.466842049413567
"1050",32292,NA,0,9384300,0,2084.17061078413,938.43,938.43,0.450265441391544,0.450265441391544
"1051",32299,NA,0,0,180000,908.38254533717,0,18,0,0.0198154401935573
"1052",32307,NA,0,0,3356100,875.317905005185,0,335.61,0,0.383414983380252
"1053",32309,NA,0,0,443700,912.296415561198,0,44.37,0,0.0486355084193835
"1054",32310,NA,0,0,7661700,953.745024111298,0,766.17,0,0.803327913258493
"1055",32340,NA,0,0,7767900,884.445441143801,0,776.79,0,0.878279161002202
"1056",32342,NA,0,5400,0,877.25917682905,0.54,0.54,0.000615553549353442,0.000615553549353442
"1057",32364,NA,0,5005800,0,874.266281735795,500.58,500.58,0.572571549947155,0.572571549947155
"1058",32366,NA,0,0,6466500,915.290290618204,0,646.65,0,0.706497169945111
"1059",32369,NA,0,9632700,0,1122.68563164994,963.27,963.27,0.858005102091086,0.858005102091086
"1060",32372,NA,0,0,1813500,922.295676626661,0,181.35,0,0.196628916946999
"1061",32374,NA,0,43200,0,900.325371910769,4.32,4.32,0.00479826531027513,0.00479826531027513
"1062",32375,NA,0,947700,0,898.320578789913,94.77,94.77,0.105496859626282,0.105496859626282
"1063",32377,NA,0,67500,0,851.175351519546,6.75,6.75,0.00793021084075059,0.00793021084075059
"1064",32378,NA,0,7018200,0,958.102109571694,701.82,701.82,0.732510650992867,0.732510650992867
"1065",32380,NA,0,1196100,0,860.746409931865,119.61,119.61,0.138960788706012,0.138960788706012
"1066",32381,NA,0,4500,0,1010.82878326464,0.45,0.45,0.000445179250383681,0.000445179250383681
"1067",32383,NA,0,697500,0,1047.28263611085,69.75,69.75,0.0666009323510043,0.0666009323510043
"1068",32390,NA,0,0,9016200,1365.79895696135,0,901.62,0,0.660141081089955
"1069",32391,NA,0,2557800,0,850.035122661144,255.78,255.78,0.300905213421356,0.300905213421356
"1070",33258,NA,0,82800,657900,1120.30431450636,8.28,74.07,0.00739084897985814,0.066115964243731
"1071",33266,NA,0,0,182700,1199.3030605426,0,18.27,0,0.0152338475578759
"1072",33267,NA,0,0,141300,930.857901950116,0,14.13,0,0.0151795456324732
"1073",33281,NA,0,2906100,0,844.757981731184,290.61,290.61,0.344015690037572,0.344015690037572
"1074",33292,NA,0,1920600,0,1309.3395151281,192.06,192.06,0.14668464350227,0.14668464350227
"1075",33302,NA,0,73800,0,829.582122483169,7.38,7.38,0.00889604512921471,0.00889604512921471
"1076",33321,NA,0,2753100,0,868.432498958473,275.31,275.31,0.317019457850995,0.317019457850995
"1077",33322,NA,0,742500,0,1284.83549806149,74.25,74.25,0.057789499209841,0.057789499209841
"1078",33334,NA,0,21600,0,902.563112016598,2.16,2.16,0.00239318444465774,0.00239318444465774
"1079",33337,NA,0,0,372600,892.411069235868,0,37.26,0,0.0417520594314278
"1080",33341,NA,0,0,134100,1239.69379190006,0,13.41,0,0.0108171873470841
"1081",33343,NA,0,1098900,843300,867.488347435827,109.89,194.22,0.126676053142177,0.223887733563323
"1082",33344,NA,0,0,8712000,1533.54199394772,0,871.2,0,0.568096604747884
"1083",33351,NA,0,348300,0,1102.74940541783,34.83,34.83,0.0315846917068189,0.0315846917068189
"1084",33353,NA,0,3955500,2088900,858.995964860197,395.55,604.44,0.460479462280567,0.703658718697676
"1085",33355,NA,0,0,643500,1262.05366733883,0,64.35,0,0.0509883229733714
"1086",33364,NA,0,235800,0,1027.52995883883,23.58,23.58,0.0229482360072954,0.0229482360072954
"1087",33366,NA,0,327600,0,1116.70685915074,32.76,32.76,0.0293362575250179,0.0293362575250179
"1088",33368,NA,0,46800,0,1013.77168490031,4.68,4.68,0.00461642406244577,0.00461642406244577
"1089",33376,NA,0,18900,0,889.470845439129,1.89,1.89,0.00212485885253149,0.00212485885253149
"1090",33379,NA,0,279000,0,1131.79413513727,27.9,27.9,0.0246511261490289,0.0246511261490289
"1091",33385,NA,0,0,10800,1168.34941923244,0,1.08,0,0.000924380996148837
"1092",34342,NA,0,0,8463600,892.789998824375,0,846.36,0,0.947994490433905
"1093",34362,NA,0,0,106200,882.211681849956,0,10.62,0,0.0120379271987539
"1094",34370,NA,0,0,526500,877.145357727314,0,52.65,0,0.0600242588485177
"1095",34384,NA,0,0,4482000,836.051766380694,0,448.2,0,0.53609120633795
"1096",34386,NA,0,6160500,8171100,2159.21480066378,616.05,1433.16,0.28531204945919,0.663741282043556
"1097",34392,NA,0,1447200,7483500,977.144786449457,144.72,893.07,0.148104970734023,0.913958721762258
"1098",34394,NA,0,2536200,0,848.157115190074,253.62,253.62,0.299024786160243,0.299024786160243
"1099",34396,NA,0,3454200,0,1270.22509734521,345.42,345.42,0.271936053477398,0.271936053477398
"1100",34401,NA,0,2326500,0,1258.34468829166,232.65,232.65,0.184885748845055,0.184885748845055
"1101",34405,NA,0,1114200,0,1868.32462322499,111.42,111.42,0.0596363172732121,0.0596363172732121
"1102",34408,NA,0,0,2809800,854.121902342623,0,280.98,0,0.328969435427599
"1103",34409,NA,0,0,145800,939.909705740087,0,14.58,0,0.0155121283576061
"1104",34411,NA,0,11700,2440800,986.512173843128,1.17,245.25,0.00118599651481447,0.248603115605342
"1105",34415,NA,0,0,2125800,941.716461826806,0,212.58,0,0.225736735649309
"1106",34420,NA,0,290700,0,1062.54358881123,29.07,29.07,0.0273588776085161,0.0273588776085161
"1107",34424,NA,0,0,3308400,912.513228319775,0,330.84,0,0.362559127618545
"1108",34429,NA,0,131400,0,873.969702009455,13.14,13.14,0.0150348461391604,0.0150348461391604
"1109",34431,NA,0,17100,0,883.981849869836,1.71,1.71,0.00193442885761941,0.00193442885761941
"1110",34439,NA,0,2043000,0,895.469589715735,204.3,204.3,0.228148451210783,0.228148451210783
"1111",34450,NA,0,79200,0,1068.01919006397,7.92,7.92,0.0074155970919639,0.0074155970919639
"1112",35342,NA,0,7542900,0,883.665994051172,754.29,754.29,0.853591747422522,0.853591747422522
"1113",35345,NA,0,0,2573100,863.560929814131,0,257.31,0,0.297963920224346
"1114",35346,NA,0,0,208800,926.693004748329,0,20.88,0,0.0225317336949906
"1115",35366,NA,0,3791700,1535400,933.637103306489,379.17,532.71,0.406121391981064,0.570575010476126
"1116",35368,NA,0,2232900,0,989.597818169009,223.29,223.29,0.225637118332718,0.225637118332718
"1117",35404,NA,54000,713700,0,1125.80171607359,76.77,76.77,0.0681914043156259,0.0681914043156259
"1118",35409,NA,0,271800,0,882.814561882598,27.18,27.18,0.0307878926940656,0.0307878926940656
"1119",35414,NA,0,1800,0,1363.6560334777,0.18,0.18,0.000131998095986823,0.000131998095986823
"1120",35425,NA,0,8584200,0,1032.56082002124,858.42,858.42,0.83135054454453,0.83135054454453
"1121",35427,NA,0,941400,0,955.577331170551,94.14,94.14,0.0985163596175745,0.0985163596175745
"1122",35430,NA,0,5215500,0,843.505892531524,521.55,521.55,0.618312218821291,0.618312218821291
"1123",35433,NA,0,4455900,0,1075.32553824087,445.59,445.59,0.414376841387905,0.414376841387905
"1124",35438,NA,0,8823600,0,1173.99079598693,882.36,882.36,0.751590219460137,0.751590219460137
"1125",35439,NA,0,903600,596700,1661.69230373965,90.36,150.03,0.0543782984350619,0.0902874735968608
"1126",35447,NA,0,0,624600,856.157028265475,0,62.46,0,0.072953906745986
"1127",35450,NA,0,0,2130300,1363.19890952534,0,213.03,0,0.156272132050176
"1128",35451,NA,0,0,2785500,1135.92307371363,0,278.55,0,0.245219070239807
"1129",35454,NA,0,3762000,1092600,1608.79080998428,376.2,485.46,0.233840221901614,0.301754582999355
"1130",35455,NA,0,14400,0,928.502188279116,1.44,1.44,0.00155088487477762,0.00155088487477762
"1131",35456,NA,0,8835300,0,915.637108419006,883.53,883.53,0.964934679772378,0.964934679772378
"1132",35459,NA,0,9387000,0,938.964990642679,938.7,938.7,0.999717784320693,0.999717784320693
"1133",35463,NA,0,0,1188000,871.125095242731,0,118.8,0,0.136375361757771
"1134",35464,NA,0,0,613800,1152.95452135931,0,61.38,0,0.0532371389008771
"1135",35465,NA,0,2711700,0,963.661624491586,271.17,271.17,0.281395453661513,0.281395453661513
"1136",35472,NA,0,923400,20700,865.828919579637,92.34,94.41,0.106649244338976,0.10904001687289
"1137",35479,NA,0,8100,0,884.789881960811,0.81,0.81,0.000915471589938317,0.000915471589938317
"1138",35485,NA,0,0,999000,1226.90777774116,0,99.9,0,0.0814242128156723
"1139",35522,NA,0,16200,0,993.643698624433,1.62,1.62,0.00163036307908224,0.00163036307908224
"1140",36389,NA,0,90900,342900,923.150776035938,9.09,43.38,0.00984671219043218,0.0469912403543397
"1141",36410,NA,0,0,12841200,4946.50402620129,0,1284.12,0,0.259601527300515
"1142",36420,NA,0,0,763200,930.48608304022,0,76.32,0,0.0820216458806522
"1143",36474,NA,0,1935900,443700,1006.92488952745,193.59,237.96,0.192258630224992,0.236323485966936
"1144",36475,NA,0,7935300,0,1031.00467750686,793.53,793.53,0.769666731211046,0.769666731211046
"1145",36479,NA,0,0,1371600,862.596599498159,0,137.16,0,0.15900827812189
"1146",36480,NA,0,898200,0,877.880588605014,89.82,89.82,0.102314598552324,0.102314598552324
"1147",36481,NA,0,4847400,0,1447.51518298745,484.74,484.74,0.334877316450367,0.334877316450367
"1148",36487,NA,0,0,900,962.878420193275,0,0.09,0,9.3469744583054e-05
"1149",36488,NA,0,650700,0,983.711951804597,65.07,65.07,0.0661474122385426,0.0661474122385426
"1150",36489,NA,0,697500,0,1669.51340644401,69.75,69.75,0.0417786402497747,0.0417786402497747
"1151",36490,NA,0,7857000,0,858.183001250929,785.7,785.7,0.915538992096937,0.915538992096937
"1152",36491,NA,0,167400,0,949.091905606923,16.74,16.74,0.0176379125152217,0.0176379125152217
"1153",36492,NA,0,0,10588500,1430.78033794615,0,1058.85,0,0.740050706539589
"1154",36494,NA,0,352800,5906700,1104.54478955004,35.28,625.95,0.031940759970786,0.566704044889838
"1155",36499,NA,0,0,4302900,1002.11353860708,0,430.29,0,0.429382483543824
"1156",36500,NA,0,0,31500,1052.72507490055,0,3.15,0,0.00299223422629842
"1157",36502,NA,0,2803500,0,883.110640269176,280.35,280.35,0.317457391199078,0.317457391199078
"1158",36520,NA,0,0,698400,996.180397974356,0,69.84,0,0.0701077838331425
"1159",36526,NA,0,586800,0,874.216031738459,58.68,58.68,0.0671229969133709,0.0671229969133709
"1160",36568,NA,0,9864000,0,986.382171369725,986.4,986.4,1,1
"1161",37480,NA,0,72000,674100,1214.26555463307,7.2,74.61,0.00592951020683093,0.0614445495182855
"1162",37482,NA,0,9037800,0,1214.99352637939,903.78,903.78,0.743855815177229,0.743855815177229
"1163",37484,NA,0,0,49500,928.208410363523,0,4.95,0,0.00533285407106082
"1164",37486,NA,1791000,0,0,887.022949311173,179.1,179.1,0.201911348673766,0.201911348673766
"1165",37491,NA,0,14400,73800,901.328057701469,1.44,8.82,0.0015976424873228,0.00978556023485213
"1166",37495,NA,0,2620800,0,868.394567837382,262.08,262.08,0.30179829504539,0.30179829504539
"1167",37500,NA,0,0,2092500,856.369973105037,0,209.25,0,0.244345325702277
"1168",37501,NA,0,5797800,0,891.930868321306,579.78,579.78,0.65002795686531,0.65002795686531
"1169",37506,NA,0,0,2209500,850.053629638287,0,220.95,0,0.259924776856747
"1170",37509,NA,0,0,1431000,937.897821654578,0,143.1,0,0.152575255743267
"1171",37513,NA,356400,0,153900,1115.94932145397,35.64,51.03,0.0319369341553652,0.0457278829951821
"1172",37527,NA,0,5400,0,981.103937826203,0.54,0.54,0.000550400400182328,0.000550400400182328
"1173",37534,NA,0,0,490500,958.974399727982,0,49.05,0,0.051148393548267
"1174",37559,NA,0,7744500,0,882.910433669716,774.45,774.45,0.877155791195136,0.877155791195136
"1175",37563,NA,0,0,1454400,898.735167631138,0,145.44,0,0.161827427298018
"1176",37570,NA,0,902700,0,1217.08222329408,90.27,90.27,0.0741691878102377,0.0741691878102377
"1177",37571,NA,0,6495300,15232500,2680.48357151911,649.53,2172.78,0.2423182170939,0.810592544974496
