OBJECTID,lagoslakei,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
84,912,16135,14521500.000000000000000,120.000000000000000,25586.000000000000000,25466.000000000000000,10787.303191819026324,5988.613710934322626,174053137.000000000000000
85,914,2081,1872900.000000000000000,525.000000000000000,22391.000000000000000,21866.000000000000000,10841.479577126381628,4980.753714193484484,22561119.000000000000000
86,922,5845,5260500.000000000000000,375.000000000000000,23360.000000000000000,22985.000000000000000,11801.592301112061250,5407.759532933339869,68980307.000000000000000
87,923,5447,4902300.000000000000000,120.000000000000000,23467.000000000000000,23347.000000000000000,11301.728474389572511,5025.299169854653883,61560515.000000000000000
88,934,9132,8218800.000000000000000,120.000000000000000,23392.000000000000000,23272.000000000000000,9012.583442838371411,5495.489807786706479,82302912.000000000000000
89,937,12584,11325600.000000000000000,120.000000000000000,59746.000000000000000,59626.000000000000000,17814.417991099810024,14421.982653050712543,224176636.000000000000000
90,938,6274,5646600.000000000000000,120.000000000000000,25659.000000000000000,25539.000000000000000,10247.188555945171174,6928.491979797041495,64290861.000000000000000
91,943,9273,8345700.000000000000000,120.000000000000000,25330.000000000000000,25210.000000000000000,8996.150975951688451,6716.159110979555408,83421308.000000000000000
92,948,125,112500.000000000000000,5691.000000000000000,13191.000000000000000,7500.000000000000000,10200.912000000000262,2003.984974059435672,1275114.000000000000000
93,949,2356,2120400.000000000000000,540.000000000000000,20329.000000000000000,19789.000000000000000,8646.354414261460988,3958.379313762531183,20370811.000000000000000
94,954,14072,12664800.000000000000000,120.000000000000000,34893.000000000000000,34773.000000000000000,11549.399658897100380,7804.088381696055876,162523152.000000000000000
95,959,12602,11341800.000000000000000,120.000000000000000,19545.000000000000000,19425.000000000000000,6040.288763688303334,4734.228419247860984,76119719.000000000000000
96,970,12410,11169000.000000000000000,120.000000000000000,24871.000000000000000,24751.000000000000000,11776.693634165994808,6120.815572241613154,146148768.000000000000000
97,974,22754,20478600.000000000000000,120.000000000000000,37671.000000000000000,37551.000000000000000,11738.871890656588221,7654.094193294134129,267106291.000000000000000
98,977,12075,10867500.000000000000000,150.000000000000000,20619.000000000000000,20469.000000000000000,9311.467246376811090,4698.116823537081473,112435967.000000000000000
99,983,1808,1627200.000000000000000,135.000000000000000,18069.000000000000000,17934.000000000000000,8977.826880530972630,3790.312477400111675,16231911.000000000000000
100,998,14007,12606300.000000000000000,120.000000000000000,33159.000000000000000,33039.000000000000000,10379.111087313485768,7523.711837434170775,145380209.000000000000000
101,1006,9176,8258400.000000000000000,120.000000000000000,22967.000000000000000,22847.000000000000000,7920.750108979947981,5439.545535696632214,72680803.000000000000000
102,1009,1273,1145700.000000000000000,2292.000000000000000,27729.000000000000000,25437.000000000000000,11065.476826394344243,6010.118186616507046,14086352.000000000000000
103,1025,5118,4606200.000000000000000,120.000000000000000,21692.000000000000000,21572.000000000000000,7225.821414615083995,5281.512811062928449,36981754.000000000000000
104,1026,10187,9168300.000000000000000,120.000000000000000,22489.000000000000000,22369.000000000000000,8310.088347894376057,4885.662547191589510,84654870.000000000000000
105,1027,13034,11730600.000000000000000,135.000000000000000,27474.000000000000000,27339.000000000000000,11981.022249501304032,6572.383170983635864,156160644.000000000000000
106,1028,1082,973800.000000000000000,120.000000000000000,19676.000000000000000,19556.000000000000000,9847.208872458410042,5324.157854384632628,10654680.000000000000000
107,1030,6249,5624100.000000000000000,120.000000000000000,27029.000000000000000,26909.000000000000000,10554.596575452073012,6635.937650731460053,65955674.000000000000000
108,1037,1067,960300.000000000000000,10262.000000000000000,20109.000000000000000,9847.000000000000000,15841.275538894095007,1635.813229334788048,16902641.000000000000000
109,1038,12841,11556900.000000000000000,120.000000000000000,31574.000000000000000,31454.000000000000000,8130.527762635309045,6335.464222944125140,104404107.000000000000000
110,1039,482,433800.000000000000000,120.000000000000000,15664.000000000000000,15544.000000000000000,9394.748962655601645,4249.273447934422620,4528269.000000000000000
111,1044,10798,9718200.000000000000000,120.000000000000000,26458.000000000000000,26338.000000000000000,10140.292832005927266,5951.216237797633767,109494882.000000000000000
112,1050,11118,10006200.000000000000000,120.000000000000000,23303.000000000000000,23183.000000000000000,9663.881273610360950,5017.000532864265551,107443032.000000000000000
113,1054,106169,95552100.000000000000000,120.000000000000000,27893.000000000000000,27773.000000000000000,10012.977017773549960,5943.777158401811903,1063067757.000000000000000
114,1056,5100,4590000.000000000000000,120.000000000000000,19448.000000000000000,19328.000000000000000,4874.521372549019361,4164.029885011478655,24860059.000000000000000
115,1058,81592,73432800.000000000000000,120.000000000000000,37518.000000000000000,37398.000000000000000,9713.369019021472923,6913.346706350098430,792533205.000000000000000
116,1062,10634,9570600.000000000000000,120.000000000000000,46447.000000000000000,46327.000000000000000,17629.362046266691323,10256.337550866694073,187470636.000000000000000
